number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
2,0,0,2,1,0,1,20,0,100.0,0,1
2,0,0,2,1,0,1,177,0,100.0,0,1
1,0,0,2,1,0,1,172,0,95.0,0,1
2,0,2,2,0,0,1,105,1,108.0,1,1
2,0,2,3,1,0,1,143,1,100.3,0,1
3,0,1,1,1,0,1,33,2,95.0,0,0
1,0,2,4,1,0,1,69,0,120.0,0,1
2,2,0,1,1,0,6,0,1,181.0,0,1
2,1,2,1,1,0,4,127,0,94.78,2,1
2,0,0,2,1,0,1,317,0,120.0,0,1
2,0,1,4,1,0,1,137,1,107.95,0,0
2,0,1,0,1,0,1,5,1,167.0,0,1
2,1,1,2,2,0,1,62,1,111.88,1,0
2,0,1,0,1,0,5,151,0,200.0,0,1
2,0,0,4,1,0,4,14,1,148.5,0,1
2,0,1,0,1,0,1,258,0,110.0,0,1
2,0,0,2,1,0,1,211,1,100.0,0,1
1,0,0,3,2,0,1,13,0,73.0,0,0
1,0,1,2,1,0,1,10,1,119.0,0,1
3,0,3,5,1,0,4,82,1,150.3,2,1
1,0,0,1,1,0,1,2,3,0.0,0,0
1,0,0,1,1,0,1,1,2,65.0,0,1
1,1,2,1,0,0,1,6,0,71.2,1,0
2,1,1,2,1,0,4,48,1,138.6,1,0
2,0,2,1,0,0,1,101,1,107.1,0,1
2,0,0,4,1,0,1,29,1,98.98,2,0
2,0,1,2,2,0,1,98,1,124.2,1,0
1,0,2,2,1,0,1,124,1,146.03,3,0
2,1,2,5,1,0,1,177,1,125.1,1,1
2,0,1,4,1,0,4,159,1,133.2,1,1
2,0,0,1,0,0,1,0,1,158.0,1,1
2,0,0,3,0,0,1,8,1,116.67,1,0
2,0,1,2,1,1,1,58,1,108.9,0,0
1,0,0,3,1,0,6,159,1,187.85,0,1
2,0,2,7,1,0,1,80,1,63.46,0,0
2,0,0,1,1,0,1,28,1,89.0,1,0
1,0,1,0,0,0,1,5,1,149.0,2,0
1,0,0,1,1,0,1,34,2,65.0,0,1
3,1,0,2,1,0,4,174,1,166.7,2,1
2,1,0,3,1,0,1,151,1,143.28,1,1
2,0,1,1,0,0,1,105,1,107.1,1,0
2,0,1,2,1,0,1,96,1,94.67,2,0
1,0,1,2,1,0,1,0,0,110.0,1,0
2,0,0,1,0,0,1,51,1,87.3,1,0
2,0,2,3,2,0,1,170,0,300.0,0,1
3,0,2,1,1,0,1,84,1,103.72,2,0
1,0,0,1,0,0,1,0,1,81.0,0,0
2,0,0,2,2,0,1,377,0,115.0,1,1
2,2,0,3,1,0,6,67,1,168.9,0,1
1,0,0,2,2,0,1,102,0,87.0,0,0
3,0,0,3,1,0,4,117,1,146.7,0,1
2,0,0,1,1,0,1,105,0,75.0,0,1
2,0,1,3,2,0,1,178,0,106.25,1,1
2,0,2,3,1,0,4,109,0,90.96,1,0
2,1,2,3,1,0,1,68,1,109.65,0,1
1,0,0,1,1,0,1,15,2,81.0,0,0
2,2,0,3,1,0,6,45,1,204.0,2,0
2,0,1,2,1,0,1,193,0,120.0,0,1
1,0,2,0,1,0,1,11,1,70.3,1,0
2,1,2,0,1,0,1,62,1,152.1,1,0
2,0,1,2,0,0,1,113,1,89.4,0,1
3,0,2,3,1,0,4,53,0,167.22,1,0
1,0,2,2,1,0,1,82,1,109.65,0,0
1,0,0,1,1,0,1,17,2,67.0,0,1
3,0,2,3,1,0,1,60,0,41.76,1,0
2,1,1,1,1,0,1,65,1,152.1,0,1
2,0,2,5,1,0,4,69,1,149.4,1,1
1,0,3,7,1,0,1,313,1,77.69,0,1
2,0,0,2,1,0,1,308,0,52.0,0,1
2,0,2,8,1,0,4,78,1,83.85,1,0
1,0,2,2,1,0,1,163,0,100.0,0,1
2,0,2,1,1,0,1,9,1,155.08,1,0
1,0,0,1,1,0,1,1,2,65.0,1,0
2,0,2,4,1,0,1,175,1,90.9,2,1
1,0,2,2,1,0,1,163,0,100.0,0,1
2,0,2,1,1,0,1,24,2,50.0,0,0
1,0,1,1,0,0,1,163,1,91.63,1,0
2,0,1,2,2,0,1,309,0,101.0,0,1
2,0,0,1,1,0,1,56,0,120.0,0,0
2,0,0,2,1,0,1,245,0,75.0,0,1
2,0,1,2,1,0,1,15,1,200.0,2,0
2,0,1,2,2,0,1,315,0,160.0,0,1
2,0,0,2,2,0,1,74,0,109.0,0,0
2,1,1,1,1,0,1,14,1,134.0,1,0
2,0,1,3,0,0,1,12,1,178.5,1,0
2,0,2,2,1,0,1,60,1,71.4,0,0
2,0,0,1,1,0,4,64,1,149.4,0,1
1,0,3,6,0,0,1,12,1,71.87,1,1
2,0,1,3,1,0,1,250,0,95.0,0,1
1,0,1,0,1,0,1,36,1,107.1,1,1
2,0,0,2,0,1,1,0,1,80.0,1,0
1,0,2,3,1,0,1,269,0,70.0,0,0
2,0,1,0,0,0,1,24,1,0.0,1,0
2,0,0,3,1,0,1,213,0,130.0,0,1
2,0,0,2,1,0,1,0,3,0.0,1,0
1,0,1,0,0,0,1,131,1,108.0,0,1
1,0,1,3,1,0,1,3,2,65.0,1,0
2,0,0,3,1,0,1,276,0,116.33,0,1
2,0,2,1,0,0,1,145,1,60.98,0,0
1,0,0,1,0,0,1,20,0,85.0,0,0
2,0,2,1,1,0,1,92,0,100.0,0,1
2,0,2,5,1,0,4,195,1,112.2,2,1
2,0,2,3,1,0,1,91,1,105.3,1,0
2,0,0,1,0,0,1,159,1,94.5,0,1
2,0,0,4,1,0,4,83,1,132.3,2,0
2,0,1,3,1,0,1,38,1,88.8,0,1
2,0,1,2,1,0,1,273,0,95.0,0,1
2,0,1,1,1,0,1,157,0,112.0,0,1
2,0,0,5,1,0,1,254,1,90.95,0,1
1,0,0,3,1,0,1,218,0,80.0,0,0
2,0,1,4,1,0,1,218,1,90.95,0,1
2,0,0,3,1,0,4,11,2,90.0,0,1
1,0,2,2,1,0,1,157,1,117.68,2,1
2,0,0,2,2,0,1,265,1,109.0,1,1
2,0,1,3,1,0,1,285,1,100.0,0,1
1,0,0,2,1,0,4,0,1,116.0,0,0
2,1,0,2,1,0,2,22,1,109.1,3,0
2,0,0,3,1,0,1,37,0,105.0,0,0
2,0,1,1,0,0,1,184,1,94.5,0,1
3,0,2,2,1,0,1,167,1,130.05,0,1
2,0,2,2,1,0,1,65,0,80.75,0,0
2,0,0,2,1,0,1,245,0,75.0,0,1
2,0,0,1,0,0,1,71,1,79.2,2,0
2,0,2,0,2,0,1,75,1,105.0,0,1
1,0,0,2,1,0,1,64,2,130.0,0,0
2,0,2,2,1,0,1,61,0,63.58,0,0
2,0,0,1,1,0,1,113,1,90.0,1,1
2,2,0,3,1,0,2,5,1,83.03,0,1
2,0,2,2,0,0,1,27,1,128.28,0,0
2,0,1,2,2,0,1,315,1,160.0,0,1
2,0,0,3,1,0,1,259,0,90.0,0,1
2,0,2,1,1,0,1,196,1,105.3,0,1
2,0,2,0,0,0,1,155,1,86.4,0,1
1,0,0,1,1,0,1,5,0,65.8,0,0
2,0,1,1,0,0,1,268,1,95.4,0,1
2,0,2,5,1,0,4,125,1,113.41,0,1
2,0,0,3,0,0,1,64,1,94.5,0,0
2,0,0,4,1,0,1,101,1,93.08,1,0
2,0,0,2,1,0,2,23,1,81.75,1,0
2,0,2,2,0,0,1,11,1,76.29,0,0
1,0,1,1,0,0,1,4,1,104.0,0,0
2,0,1,3,1,0,1,210,0,72.75,0,0
1,0,2,2,1,0,1,37,1,95.0,0,0
2,0,0,1,0,0,1,5,1,139.0,1,1
1,0,1,2,1,0,1,118,0,110.0,0,0
2,0,0,1,1,0,1,176,1,97.71,0,1
1,0,0,2,1,0,1,64,1,86.4,1,1
2,0,1,2,1,0,1,168,1,85.0,0,1
2,0,0,1,2,0,1,55,0,104.0,0,0
2,0,0,2,0,0,1,84,1,116.1,0,1
1,0,2,2,1,0,1,2,0,61.38,0,0
2,0,2,4,1,0,2,33,1,107.58,2,1
2,0,1,1,0,0,1,43,1,94.5,1,0
2,0,2,2,1,0,4,38,1,149.4,0,1
1,0,0,1,1,0,1,7,2,65.0,0,0
2,2,0,1,1,0,6,207,1,168.3,1,1
3,0,0,4,1,0,4,114,1,150.45,0,0
2,0,0,4,1,0,4,70,1,102.1,2,0
2,0,1,3,1,0,1,179,1,90.9,0,1
2,2,1,0,1,0,6,0,1,177.0,0,0
2,0,0,3,1,0,1,314,0,75.0,0,1
1,0,0,3,1,0,1,89,1,63.75,1,1
2,0,1,2,1,0,4,26,1,158.33,0,1
2,0,0,2,1,0,1,11,1,141.0,1,1
2,0,0,4,1,0,1,131,1,105.3,0,1
2,0,1,2,1,0,4,65,1,118.8,1,1
2,0,0,5,1,0,1,186,1,90.95,1,1
2,0,1,2,0,0,1,20,1,92.67,1,0
3,0,1,2,1,0,4,47,1,123.3,0,1
1,0,0,2,1,0,4,2,1,147.0,0,0
2,0,1,2,1,0,4,14,1,149.33,1,0
2,0,1,4,1,0,1,127,1,90.0,3,0
2,0,0,2,1,0,1,322,0,52.0,0,0
2,0,2,3,1,0,1,82,1,122.76,2,0
1,0,0,1,1,0,1,0,1,135.0,0,1
3,0,2,0,1,0,1,37,0,111.6,0,0
2,0,0,2,1,0,1,46,0,75.0,0,0
2,0,0,1,0,0,1,0,1,107.0,0,0
1,0,1,0,1,1,1,20,1,154.0,1,0
1,0,3,5,1,0,1,96,1,80.7,0,1
3,0,2,1,1,0,4,49,1,158.4,1,1
2,0,0,1,0,0,1,50,1,86.4,1,0
2,0,2,4,1,0,1,224,1,114.9,1,1
2,2,1,2,1,0,6,102,1,189.3,0,0
2,0,1,2,1,0,1,273,0,95.0,0,1
2,0,0,2,0,1,1,177,1,103.5,1,1
3,0,0,1,1,0,4,117,1,123.3,0,0
2,0,1,4,1,0,1,76,1,100.6,1,0
2,0,0,2,0,0,1,76,1,76.5,1,0
2,0,0,2,1,0,4,86,1,127.8,0,1
1,0,1,0,1,0,1,45,2,65.0,0,1
1,0,1,2,1,0,4,38,1,131.4,0,1
2,2,0,3,1,0,6,7,1,201.0,1,1
2,0,0,2,2,0,1,257,0,101.5,0,1
2,0,1,4,1,0,1,54,1,109.8,1,0
2,0,2,3,1,0,1,82,1,84.15,1,0
1,0,0,4,2,0,1,296,0,96.0,0,0
1,0,0,1,1,0,1,1,0,90.0,0,0
3,0,0,3,1,0,4,120,1,140.7,0,0
2,0,0,2,1,0,2,179,1,103.69,0,1
2,0,1,0,0,1,1,4,1,98.0,1,0
2,0,0,2,2,0,4,80,0,136.0,0,0
2,1,2,1,1,0,1,103,0,77.29,1,1
2,0,1,3,1,0,1,50,1,99.45,0,1
3,0,2,5,1,0,4,193,1,130.05,0,1
2,0,0,1,1,0,1,14,1,87.0,1,1
2,0,0,2,0,0,1,119,1,94.5,0,1
2,0,0,3,2,0,1,150,0,90.0,1,0
3,0,2,7,1,0,4,178,1,127.22,1,1
1,0,0,4,1,0,1,7,1,99.0,1,0
2,0,0,2,1,0,1,215,1,97.71,0,1
2,0,0,4,1,0,1,13,0,54.75,0,0
1,0,0,3,1,0,1,4,2,65.33,0,0
2,0,2,1,0,0,1,133,1,108.0,0,1
2,0,2,1,1,0,1,194,1,96.3,2,1
2,1,2,5,1,0,1,194,1,111.11,2,1
2,0,1,3,1,0,1,113,0,72.25,0,0
1,0,2,2,1,0,1,359,1,95.0,0,1
2,0,2,1,2,0,1,4,0,109.0,0,0
2,0,2,1,1,0,4,63,1,140.4,0,1
3,0,0,4,1,0,4,36,1,150.3,0,1
2,0,1,0,1,0,1,141,0,90.0,0,0
1,0,0,2,1,0,1,188,1,130.0,0,1
1,0,0,2,1,0,1,103,0,115.0,0,1
3,0,2,3,1,0,4,71,1,124.95,2,0
1,0,1,3,1,0,4,16,1,127.5,0,1
1,0,2,1,2,0,1,23,0,79.0,0,0
2,0,1,2,1,0,1,273,0,95.0,0,1
2,0,0,1,0,0,1,1,1,149.0,1,0
2,0,0,2,1,0,1,44,1,103.05,1,1
2,0,0,2,2,0,1,286,1,117.0,1,1
2,0,1,3,0,0,1,90,1,70.78,1,0
2,0,2,1,2,0,1,110,0,94.5,0,1
2,0,0,5,0,0,1,6,1,88.92,0,0
2,0,0,3,0,0,1,76,1,80.1,0,1
1,0,0,2,1,0,1,1,2,65.0,0,0
2,0,1,0,0,0,1,64,1,103.5,0,0
2,0,1,0,0,0,1,155,1,94.5,1,0
2,0,1,3,1,0,1,153,1,133.88,2,1
3,0,2,2,1,0,4,19,1,187.0,2,0
1,0,0,2,1,0,1,64,2,130.0,0,0
2,0,3,7,1,0,1,23,1,95.98,0,0
2,0,1,3,1,0,1,3,1,126.25,2,0
1,0,2,1,0,0,1,10,1,112.33,1,1
3,0,0,4,1,0,4,106,1,152.1,0,1
2,0,1,2,2,0,1,162,0,85.17,1,0
2,0,2,2,1,0,2,90,1,79.8,1,0
2,0,0,3,1,0,1,38,1,78.3,1,0
2,0,2,2,1,0,1,35,1,88.4,1,0
3,0,0,4,1,0,4,71,1,128.0,0,0
1,0,0,3,1,0,1,104,1,110.1,1,0
2,0,0,2,0,0,1,64,1,65.36,2,0
3,0,0,2,1,0,4,12,1,127.0,1,1
3,0,0,1,1,0,4,55,1,137.7,0,1
2,0,0,1,1,0,1,443,0,65.0,0,1
2,0,2,2,1,0,1,204,0,72.75,0,0
2,0,2,2,1,0,1,151,1,77.23,1,0
2,0,0,2,1,0,1,317,1,120.0,0,1
2,0,0,1,1,0,4,9,1,156.0,0,1
1,0,0,1,1,0,1,34,2,65.0,0,1
2,0,0,4,0,0,1,11,1,80.75,2,0
2,0,1,2,1,0,1,84,1,126.9,0,1
2,0,0,1,0,0,1,0,1,109.0,1,0
2,0,0,1,0,0,1,125,1,116.1,0,0
2,0,1,1,0,0,1,175,1,85.5,1,0
2,0,2,1,1,0,1,65,0,68.0,0,0
2,0,2,5,1,0,4,15,1,128.84,0,1
2,0,2,2,1,0,4,179,1,104.4,1,1
2,0,1,2,1,0,1,256,0,76.67,0,0
2,0,2,2,1,0,1,99,1,65.0,0,1
2,0,1,3,1,0,4,75,1,103.7,1,0
2,0,2,3,1,0,1,0,1,88.0,0,0
2,0,1,1,1,0,1,33,2,64.0,0,0
1,0,0,1,1,0,1,6,1,85.5,0,1
2,0,0,3,1,0,6,20,1,196.0,2,0
2,0,1,2,2,0,1,418,1,107.0,0,1
2,0,1,1,1,1,4,130,1,134.1,1,0
2,0,1,1,1,0,1,158,1,89.25,1,0
1,0,2,1,1,0,1,38,0,81.0,0,1
2,0,0,2,1,0,1,112,0,100.0,0,0
2,0,0,1,1,0,1,105,0,75.0,0,1
2,0,0,2,1,0,1,317,1,120.0,0,1
2,0,1,1,1,0,1,1,1,105.0,0,1
2,0,0,3,1,0,4,27,1,125.25,1,0
1,0,0,1,1,1,1,2,2,67.0,1,0
2,0,1,2,1,0,1,65,1,67.81,1,0
2,0,0,2,1,0,1,239,1,107.0,1,1
2,0,0,1,1,0,4,4,1,176.0,1,0
1,0,0,3,2,0,1,2,0,91.0,0,0
2,0,0,4,2,0,1,113,1,117.3,3,0
2,0,0,1,1,0,1,117,1,76.5,0,1
3,0,0,3,1,0,4,94,1,137.7,0,1
2,0,1,2,1,0,1,302,0,100.0,0,1
2,0,0,3,1,0,1,64,1,93.6,1,1
2,0,2,1,1,0,1,306,1,95.4,3,0
2,0,1,2,1,0,1,4,0,76.8,0,0
3,0,0,3,1,0,1,85,0,86.36,0,0
2,0,1,3,1,0,6,25,1,158.0,0,1
2,0,0,3,1,0,1,71,0,95.0,0,0
1,0,1,0,1,0,1,4,2,59.0,0,0
2,0,2,5,2,0,4,51,0,87.3,0,0
2,0,1,4,1,0,1,55,0,74.8,0,1
1,0,0,1,0,0,1,40,1,72.0,0,0
2,0,1,3,1,0,1,67,1,135.9,1,0
2,0,0,2,0,0,1,14,1,100.0,2,0
2,0,2,5,1,0,1,96,1,76.5,0,1
2,0,0,1,1,0,1,105,1,93.6,1,1
1,0,2,0,1,0,1,0,2,65.0,0,0
1,0,1,2,1,0,4,253,1,140.4,1,1
2,0,0,3,1,0,1,279,0,110.0,0,1
2,0,0,4,1,0,1,104,1,111.78,0,1
2,0,0,2,1,0,1,67,1,104.55,1,1
2,0,1,5,1,0,1,233,1,90.95,0,1
3,0,0,3,1,0,4,120,1,159.3,1,1
2,0,0,3,1,0,1,104,1,76.5,0,1
2,0,0,1,1,0,4,5,1,184.0,2,0
2,0,2,4,1,0,4,28,1,164.5,2,0
2,0,1,2,1,0,1,31,0,75.0,0,0
2,0,2,2,1,0,1,61,0,63.58,0,0
1,0,1,2,1,0,1,180,0,120.0,0,1
2,0,0,4,1,0,1,48,0,75.0,0,0
2,0,0,2,2,0,1,74,0,101.5,0,0
2,0,0,2,1,0,1,9,1,160.0,1,0
1,0,0,3,1,0,1,104,1,110.1,0,0
1,0,0,1,1,0,1,101,1,63.75,1,1
2,0,0,3,1,0,4,8,1,142.67,0,1
2,1,0,3,1,0,1,105,1,143.1,0,1
2,0,1,4,1,0,1,57,1,63.55,1,0
3,0,2,6,1,0,1,132,0,96.9,1,0
1,0,1,3,2,0,1,210,1,0.0,0,1
1,0,0,3,1,0,4,16,2,76.0,0,0
1,0,2,4,1,0,1,69,0,120.0,0,1
2,0,0,3,2,0,1,36,0,112.0,0,0
2,0,0,4,1,0,1,279,1,73.95,0,1
2,0,1,2,1,0,1,3,2,120.0,0,1
2,0,0,2,1,0,1,68,0,65.0,0,0
2,0,0,2,1,0,1,86,0,105.0,0,0
2,0,0,2,1,0,1,69,1,105.3,0,1
2,0,0,2,2,0,1,292,1,115.0,0,1
2,0,0,2,1,0,1,64,2,140.0,0,1
2,0,0,3,1,0,1,213,0,130.0,0,1
2,0,1,1,1,0,1,1,1,77.77,1,0
2,0,2,1,1,0,1,12,1,95.48,1,0
2,0,1,2,1,0,2,81,1,66.37,2,0
2,0,1,4,1,0,1,148,0,67.0,0,0
1,0,0,2,1,0,1,151,0,70.0,0,0
2,1,0,2,1,0,1,45,1,134.1,1,0
2,1,2,2,1,0,1,122,1,113.78,1,1
2,0,1,4,1,0,1,275,0,90.0,0,1
2,1,0,5,2,0,1,21,1,115.55,3,0
2,0,0,2,2,0,1,265,0,115.0,1,1
2,0,2,2,1,0,1,141,1,104.55,1,0
2,0,1,1,1,0,5,19,1,151.2,0,0
2,0,0,2,1,0,1,193,1,126.9,0,1
2,1,1,1,1,0,5,8,0,173.8,0,0
2,0,2,3,1,0,1,2,1,103.0,1,0
2,0,1,0,1,0,1,8,1,101.0,1,0
2,1,0,1,1,1,4,1,1,155.0,2,0
2,0,2,1,1,0,4,42,1,118.8,0,0
1,0,0,1,1,0,1,0,2,89.0,0,0
2,2,2,4,1,0,6,22,1,224.0,1,0
2,0,0,4,1,0,5,112,0,92.65,2,0
2,0,1,3,0,0,1,70,1,89.25,0,1
1,0,0,3,1,0,1,19,0,80.0,0,0
2,0,0,2,2,0,1,102,0,109.0,0,0
2,0,2,3,1,0,4,45,1,96.9,2,0
1,0,0,1,1,0,1,0,4,79.0,0,0
3,0,0,2,1,0,4,41,1,159.3,0,1
2,0,1,1,0,0,1,24,1,139.0,1,0
2,1,0,3,1,0,1,81,1,143.1,2,0
2,0,2,2,1,0,1,60,1,108.9,1,1
2,0,1,3,1,0,1,58,1,99.45,0,0
3,0,1,2,1,0,4,229,1,128.7,0,1
2,0,2,4,0,0,1,332,1,63.75,3,0
2,0,0,3,0,0,1,99,1,103.5,1,0
1,0,0,1,1,0,1,2,2,66.0,0,0
2,0,0,4,0,0,1,59,1,99.85,0,1
2,0,1,3,1,0,1,83,1,105.3,2,0
3,0,0,2,1,0,4,29,1,201.25,3,0
1,0,2,4,1,0,1,69,0,120.0,0,1
0,2,2,2,1,0,2,62,1,96.23,0,1
2,0,1,2,0,0,1,69,0,85.0,0,0
1,0,0,3,1,0,1,71,0,120.0,0,0
2,0,2,1,1,0,1,118,1,87.3,1,1
2,0,1,0,1,0,1,22,1,105.0,0,0
2,0,0,3,1,0,4,148,0,88.12,0,0
2,0,2,0,1,0,1,212,1,81.77,0,1
2,0,2,2,1,1,1,169,1,118.25,2,1
2,0,1,4,1,0,1,37,1,94.18,2,0
2,0,1,0,1,0,1,92,1,96.3,0,1
2,0,0,1,1,0,1,118,0,63.75,0,1
1,0,0,3,1,0,1,4,2,65.0,0,0
2,0,0,1,0,0,1,1,1,89.0,1,0
2,0,1,1,2,0,1,117,1,127.8,1,1
2,0,1,1,0,0,1,8,1,80.75,1,0
2,0,1,0,1,0,1,5,1,167.0,0,1
2,0,1,2,1,1,4,46,1,98.3,1,0
1,0,0,3,1,0,1,119,0,110.0,0,0
2,0,2,4,1,0,4,63,1,111.6,1,0
2,0,2,2,0,0,1,158,1,89.25,0,1
2,0,2,1,1,0,4,64,1,143.4,1,1
2,0,1,3,1,0,1,25,0,87.0,0,0
1,0,0,2,1,0,1,4,2,40.0,0,0
2,0,0,2,0,0,1,15,1,79.0,0,1
2,0,0,3,1,0,1,183,1,93.5,1,1
2,0,2,2,0,0,1,199,1,74.8,1,1
2,0,1,2,1,0,1,78,1,100.0,0,1
1,0,2,1,1,0,1,1,0,60.0,0,1
2,0,1,3,1,0,1,196,0,80.75,1,0
2,0,0,1,0,0,1,42,1,88.2,0,0
2,0,2,2,1,0,1,209,1,89.2,0,1
3,0,1,0,2,0,4,21,1,210.6,0,1
3,0,0,1,1,0,4,171,1,128.7,2,1
2,2,1,1,1,0,6,35,1,179.01,0,1
2,0,2,6,2,0,1,107,1,140.25,1,0
3,0,1,2,1,0,4,169,1,137.7,1,1
2,0,2,2,0,0,1,9,1,140.0,1,1
2,0,0,3,1,0,1,308,1,78.3,2,1
2,0,3,5,1,0,4,5,1,126.75,0,1
1,0,2,3,1,0,1,115,1,68.0,2,1
2,0,1,0,1,1,7,2,3,0.0,1,0
1,0,0,3,1,0,1,71,0,120.0,0,0
2,0,0,4,1,0,1,74,1,88.4,2,1
1,0,0,2,2,0,1,257,0,80.0,0,0
2,0,0,2,1,0,1,211,0,100.0,0,1
2,0,0,4,1,0,1,80,1,88.4,1,0
2,0,0,1,1,0,1,2,1,101.0,1,0
2,0,2,2,1,0,1,57,1,88.4,1,0
1,0,2,2,1,0,1,91,1,70.14,0,0
2,0,0,1,1,0,1,105,1,75.0,0,1
3,0,2,2,1,0,4,33,1,154.8,1,0
1,0,0,3,1,0,1,276,0,95.67,0,0
2,0,2,1,1,0,1,41,1,65.02,0,0
1,0,1,2,1,0,1,91,0,75.0,0,0
2,0,2,3,1,0,1,81,1,89.25,2,0
2,0,2,1,2,0,1,117,0,94.5,0,0
2,0,0,1,0,0,1,4,1,69.5,0,0
2,0,0,3,1,0,1,43,0,60.0,0,0
2,0,2,1,1,0,1,48,1,115.5,2,0
2,0,2,3,1,0,4,170,1,112.2,1,1
2,0,0,3,2,0,1,34,1,224.67,0,1
2,0,2,1,2,0,1,131,0,94.5,0,0
2,0,0,3,1,0,4,3,1,163.67,0,1
1,0,1,4,1,0,1,191,1,86.75,0,1
1,0,0,2,1,0,1,181,0,120.0,0,1
1,0,2,1,1,0,1,93,1,115.0,0,1
2,0,0,3,1,0,1,259,0,90.0,0,1
2,0,0,2,1,0,4,15,1,88.8,0,1
2,0,1,3,0,0,1,63,1,63.75,1,0
1,0,0,3,1,0,1,159,1,119.85,1,1
2,0,2,5,1,0,1,278,1,73.95,0,1
2,0,2,4,0,0,1,133,1,74.8,2,1
2,0,3,6,0,0,1,314,1,68.66,0,1
2,0,0,2,1,0,1,49,0,85.5,0,0
2,0,2,1,1,0,1,216,1,96.3,2,0
2,0,0,1,0,0,1,3,1,139.0,1,0
2,0,0,1,1,0,1,182,1,96.3,2,1
2,0,1,2,2,0,1,57,1,127.8,0,1
1,0,0,2,1,0,1,188,0,130.0,0,1
2,0,1,3,1,0,1,50,1,72.75,1,0
2,0,2,3,1,0,1,39,1,114.41,2,0
2,0,2,3,1,0,1,182,1,70.44,2,0
2,0,1,0,1,0,1,16,1,121.0,1,0
2,0,0,3,1,0,1,109,1,129.6,0,1
2,0,1,3,1,1,1,151,1,110.58,1,1
2,0,0,1,0,0,1,0,1,79.0,0,0
2,0,1,2,1,0,1,69,1,126.9,1,0
2,0,0,4,1,0,1,79,1,88.4,1,0
2,0,2,1,2,0,1,5,0,47.25,0,0
2,0,2,5,1,0,4,167,1,104.4,1,1
2,0,2,3,0,0,1,95,0,59.5,0,0
2,0,0,2,1,0,1,94,1,72.25,1,0
2,0,0,2,1,0,1,28,2,109.0,0,0
2,0,1,0,1,0,1,14,1,94.35,0,1
2,0,1,4,1,0,4,71,1,63.49,1,0
2,0,2,2,0,0,1,44,1,74.8,1,0
2,0,1,4,1,0,1,88,0,80.75,0,1
1,0,1,0,0,0,1,131,1,108.0,0,1
2,0,0,1,1,0,1,11,1,130.0,1,1
2,0,2,4,0,0,1,15,1,88.0,0,1
2,0,1,2,2,0,1,161,0,130.0,0,1
2,0,0,3,2,0,1,34,0,224.67,0,1
2,0,1,3,0,0,1,5,1,69.1,0,0
2,0,0,1,0,0,1,5,1,119.0,0,0
2,0,2,1,1,0,1,41,0,85.5,0,0
2,0,0,4,2,0,1,296,0,117.0,0,1
2,1,2,3,1,0,1,56,1,115.09,2,0
2,0,0,2,2,0,1,102,0,109.0,0,0
2,0,0,2,1,0,1,2,1,141.0,0,0
2,0,2,3,1,0,1,283,1,69.38,1,0
2,0,0,2,0,0,1,14,1,80.0,1,0
2,0,0,3,0,0,1,124,1,94.5,1,1
2,0,0,3,1,0,1,433,0,70.0,0,1
2,0,2,1,2,0,1,124,0,94.5,0,1
1,0,1,1,1,1,1,20,2,79.0,1,0
2,0,1,4,1,0,2,111,1,76.97,0,0
