number of adults,number of children,number of weekend nights,number of week nights,type of meal,car parking space,room type,lead time,market segment type,average price,special requests,booking status
2,0,0,1,0,0,1,92,1,76.5,1,0
2,0,2,1,1,0,1,104,1,126.9,1,0
1,0,0,2,1,0,1,32,0,73.0,0,0
2,0,2,3,1,0,1,256,1,100.75,0,1
2,0,0,3,2,0,1,34,0,224.67,0,1
2,0,2,2,1,0,1,81,0,65.0,0,1
2,0,2,2,0,0,1,0,1,78.42,0,0
2,0,0,3,0,0,1,88,1,134.1,1,0
2,0,1,2,1,0,1,267,0,95.0,0,1
0,2,2,5,1,0,2,255,1,72.0,0,1
2,0,0,1,1,0,2,238,1,96.48,2,1
2,2,2,3,1,0,6,59,1,147.9,0,1
2,0,0,2,2,0,1,39,0,101.5,0,0
2,0,1,2,1,0,1,78,1,100.0,0,1
2,0,1,2,1,0,1,159,0,144.0,0,1
2,0,0,3,1,0,4,106,1,131.4,2,0
2,0,0,2,2,0,1,256,1,124.0,1,1
2,0,0,1,0,1,1,5,1,127.0,2,0
1,0,1,0,1,0,1,141,0,80.0,0,0
1,0,0,1,1,0,1,0,1,135.0,1,0
2,0,2,1,1,0,1,275,1,106.2,0,1
2,0,0,1,1,0,1,50,1,90.9,0,0
2,0,0,2,1,0,1,105,1,62.86,0,0
2,0,1,4,1,0,1,275,0,90.0,0,1
2,0,0,2,1,0,1,4,1,87.0,1,0
1,0,0,3,1,0,1,71,0,120.0,0,0
1,0,1,0,0,0,1,12,1,129.0,0,1
1,0,2,1,1,0,1,1,0,60.0,0,1
2,0,1,2,0,0,1,56,1,107.1,1,0
2,0,0,3,1,0,1,41,0,85.0,0,0
2,0,0,3,1,0,1,213,0,130.0,0,1
2,0,0,2,1,0,1,86,2,100.0,0,1
2,0,0,2,1,0,1,21,1,76.0,0,0
2,0,0,3,1,0,1,213,0,130.0,0,1
2,0,1,2,1,1,1,0,1,115.0,0,0
2,0,0,4,0,0,1,177,1,82.88,0,1
2,0,1,0,0,0,1,4,1,114.73,2,0
2,0,0,1,1,0,1,87,1,74.15,0,1
1,0,0,1,1,0,1,0,3,0.0,0,0
2,0,0,2,0,0,1,173,1,85.5,0,1
2,0,2,2,1,0,4,17,1,121.75,1,0
2,0,0,1,0,0,1,131,1,103.5,1,0
1,0,0,2,2,0,1,74,0,87.0,0,0
3,0,2,1,1,0,1,209,1,127.8,2,1
1,0,1,2,0,0,1,12,1,134.75,1,0
1,0,0,2,2,0,1,292,0,90.0,0,0
2,0,0,1,0,0,1,95,1,65.83,1,0
1,0,1,2,1,0,1,219,0,76.67,0,0
1,0,0,2,1,0,1,58,0,81.0,0,0
2,0,2,1,1,0,1,45,1,93.6,1,0
2,0,1,4,2,0,1,187,1,152.15,2,1
2,0,2,2,1,0,4,71,1,132.6,0,1
2,0,0,1,1,0,1,180,0,70.0,0,1
2,1,1,3,1,0,4,38,1,118.8,0,1
2,0,0,1,2,0,1,55,0,104.0,0,0
2,0,2,3,0,0,1,117,1,105.74,1,0
2,2,2,4,1,0,6,62,1,207.9,1,0
1,1,2,2,1,0,1,68,0,79.56,0,1
1,0,0,2,1,0,4,123,1,117.3,1,0
2,0,0,2,1,0,4,39,1,149.4,0,1
3,0,2,0,1,0,4,171,1,123.3,1,1
2,0,1,0,0,0,1,1,1,98.0,0,0
1,0,0,2,1,0,1,3,0,95.0,0,0
1,0,1,0,1,0,1,3,2,65.0,1,0
1,0,0,1,1,0,1,9,1,97.02,1,0
2,1,2,1,1,0,4,125,1,101.49,2,0
2,0,1,1,0,0,1,268,1,95.4,0,1
3,0,0,3,1,0,1,6,1,137.0,0,1
2,0,1,0,1,0,4,120,1,140.4,0,1
2,1,1,3,2,0,1,100,1,132.08,0,0
2,0,0,2,1,0,1,27,0,108.0,0,0
2,0,0,1,1,0,1,4,1,121.6,0,1
2,0,2,2,1,0,4,55,1,126.9,1,0
2,0,0,2,0,0,1,18,1,129.0,0,0
2,0,0,3,1,0,1,279,0,110.0,0,1
2,1,0,1,1,0,4,79,1,126.0,2,0
2,0,1,0,1,0,4,0,1,97.0,0,0
2,0,0,5,1,0,4,128,1,132.3,0,1
2,0,0,2,0,0,1,29,0,67.5,0,0
2,0,1,3,1,0,1,51,1,75.95,1,0
2,0,2,5,1,0,1,103,1,83.66,1,1
1,0,0,3,1,0,4,11,2,90.0,0,0
1,0,0,3,1,0,1,19,0,80.0,0,0
2,0,0,2,2,0,1,39,0,109.0,0,0
3,0,2,1,1,0,4,116,0,96.56,0,1
1,0,1,2,1,0,1,219,0,76.67,0,0
2,0,2,5,2,0,1,5,0,100.0,1,0
2,0,1,1,1,0,1,30,1,117.9,0,1
2,0,1,1,1,0,1,275,0,62.8,0,1
1,0,1,4,1,0,1,89,1,68.0,1,1
2,0,0,1,1,0,1,21,0,95.0,0,0
2,0,0,1,1,0,1,216,1,96.3,1,1
2,0,0,2,1,0,1,317,1,120.0,0,1
2,0,1,4,1,0,1,74,1,88.4,3,0
2,0,0,3,1,0,1,35,0,85.0,0,0
2,0,2,1,0,0,1,46,1,79.2,0,0
2,0,1,1,1,0,1,130,1,118.8,1,1
2,0,0,1,0,0,1,50,1,89.1,0,1
2,0,1,2,1,0,1,273,0,95.0,0,1
2,0,0,4,0,0,1,78,1,62.18,0,1
3,0,0,4,1,0,4,19,1,187.0,0,0
3,0,2,1,2,0,1,3,0,138.5,1,0
3,0,1,3,1,0,4,134,1,115.6,2,1
2,0,1,3,0,0,1,213,1,80.75,0,1
1,0,2,4,1,0,1,245,1,110.0,0,1
1,0,0,1,1,1,1,2,2,67.0,1,0
1,0,1,2,1,0,1,57,0,75.33,1,0
2,0,2,2,1,0,1,16,1,89.89,1,0
2,0,2,2,1,0,1,80,1,135.9,0,0
2,0,1,1,1,0,1,275,0,62.8,0,1
2,0,0,3,1,0,1,52,1,126.9,0,1
2,0,2,3,1,0,1,86,1,95.85,1,0
2,0,0,5,1,0,1,116,1,109.25,1,0
3,0,0,3,1,0,4,66,1,150.3,0,1
2,0,0,3,1,0,1,213,0,130.0,0,1
3,0,2,5,1,0,4,84,1,151.59,1,0
2,0,0,1,1,0,1,2,1,91.0,1,0
1,0,0,3,1,0,1,163,0,100.8,0,1
2,1,0,1,1,0,1,11,1,150.0,1,1
2,0,1,2,1,0,4,189,1,109.8,0,1
2,0,0,2,1,0,1,317,0,120.0,0,1
1,0,0,2,1,0,1,188,0,130.0,0,1
2,2,0,4,1,0,6,33,1,159.75,2,1
1,0,0,2,1,0,1,96,1,68.0,1,1
1,0,1,1,2,0,1,301,0,90.0,0,0
2,0,0,1,1,0,1,105,0,75.0,0,1
1,0,0,1,1,0,1,11,1,103.0,2,0
2,0,1,5,1,0,4,184,1,115.32,1,1
2,0,2,3,1,0,1,58,1,121.56,0,0
1,0,0,2,1,0,1,35,1,76.5,1,0
2,0,2,3,1,0,1,159,1,130.14,2,1
2,2,0,3,1,0,7,1,1,209.1,2,0
2,0,1,1,2,0,1,247,0,109.0,0,1
2,0,1,2,1,0,1,0,1,90.0,0,1
2,0,1,3,0,0,1,240,1,80.75,0,1
2,0,2,3,1,0,2,284,1,81.82,0,1
2,0,1,1,1,0,4,49,1,135.9,1,0
2,0,1,0,0,0,1,0,1,62.73,0,0
2,1,0,1,1,0,1,62,1,143.1,0,1
2,0,1,2,2,0,1,107,1,124.2,1,1
3,0,0,3,1,0,4,55,1,123.3,2,0
2,0,1,1,1,0,1,221,0,71.28,0,0
3,0,1,3,1,0,4,184,1,128.7,2,1
1,0,1,3,1,0,1,118,0,110.0,0,0
2,0,1,2,2,0,1,418,0,107.0,0,1
2,0,2,3,2,0,1,137,1,146.1,2,0
2,0,0,2,1,0,1,11,1,69.6,0,0
2,0,0,1,1,0,1,56,0,120.0,0,0
2,0,1,4,1,0,7,190,0,110.0,0,1
3,0,2,4,2,0,4,85,1,201.6,1,0
1,1,2,0,1,0,1,0,1,9.0,0,0
2,0,0,2,1,0,1,25,1,78.3,0,1
2,0,1,3,0,0,1,263,1,63.75,0,1
2,0,2,2,1,0,1,34,1,95.2,0,1
2,0,1,1,1,0,1,3,2,120.0,0,1
1,0,1,3,1,0,1,118,0,110.0,0,0
2,0,0,2,2,0,1,265,0,115.0,1,1
2,0,0,2,2,0,1,286,1,117.0,1,1
1,0,0,3,1,0,1,113,2,100.0,0,1
1,0,1,2,1,0,5,227,2,106.0,0,1
2,0,1,3,1,0,4,37,1,95.4,1,1
2,0,2,2,1,0,4,164,1,126.9,1,1
2,0,0,2,1,0,1,101,0,95.88,0,1
2,0,0,1,0,0,1,12,1,81.0,0,0
1,0,1,0,1,0,1,13,1,95.0,0,1
2,2,0,1,1,1,6,30,1,216.9,1,0
2,0,0,2,1,0,1,308,0,52.0,0,1
2,0,2,1,2,0,1,220,0,172.0,0,1
2,2,2,1,1,1,6,153,1,186.3,2,1
2,0,2,1,2,0,1,150,0,101.0,0,0
2,0,2,2,1,0,1,10,0,85.0,0,0
2,0,0,2,2,0,1,377,0,115.0,1,1
2,0,0,4,2,0,1,100,0,140.0,1,0
1,0,2,2,1,0,1,4,2,98.32,0,0
1,0,2,5,1,0,1,89,0,85.0,1,0
1,0,2,1,1,0,1,1,0,60.0,0,1
2,1,1,5,1,0,1,35,1,98.1,1,1
2,1,1,2,1,0,1,52,1,132.9,0,1
2,0,1,0,0,0,1,49,1,93.15,0,1
1,0,0,2,1,0,1,32,0,73.0,1,0
2,0,0,3,1,0,1,50,0,52.0,1,0
2,0,1,3,0,0,1,220,1,80.75,1,0
2,0,1,2,1,0,1,43,1,88.46,1,0
2,2,3,8,1,0,6,346,1,146.59,2,1
2,0,1,2,1,0,1,1,0,80.27,0,0
2,0,2,2,1,0,1,229,1,89.25,0,1
2,0,0,1,1,0,1,105,0,75.0,0,1
2,0,2,0,2,0,1,386,1,115.0,1,1
2,2,2,3,1,0,6,14,1,199.8,1,0
1,0,0,1,1,0,1,163,0,115.0,0,1
2,2,0,1,1,0,6,5,1,231.0,2,0
2,0,1,3,1,0,1,132,1,101.58,1,0
1,0,1,1,1,0,1,2,1,99.5,0,1
1,0,0,1,1,0,1,99,2,80.0,0,0
2,0,0,1,1,0,4,8,1,184.0,0,0
1,0,2,1,2,0,1,220,0,128.0,0,1
2,0,2,2,1,0,1,297,1,90.95,0,1
2,0,2,5,1,0,1,205,0,80.24,0,1
2,0,1,1,2,0,1,247,1,115.0,1,1
2,0,2,0,2,0,1,275,0,110.0,0,1
2,0,0,1,1,0,1,115,1,1.0,0,0
3,0,2,4,1,0,4,111,1,150.3,0,1
1,0,0,3,1,0,1,151,0,71.0,0,0
2,0,1,1,1,0,1,180,0,100.0,1,0
2,0,1,0,0,0,1,2,1,98.0,2,0
2,0,0,4,0,0,1,49,1,74.8,2,1
2,1,2,1,1,0,1,2,0,68.5,0,1
2,0,2,2,0,0,1,28,1,132.05,0,1
2,0,0,1,1,0,4,8,1,146.0,0,1
2,0,2,2,1,0,1,4,1,91.0,0,1
1,0,0,1,1,0,1,99,2,81.0,0,0
2,0,1,1,1,0,2,93,1,81.5,2,0
2,0,2,2,1,0,1,36,1,88.4,1,0
2,0,0,2,2,0,1,320,1,115.0,1,1
2,0,1,3,1,0,2,353,1,73.74,0,1
2,0,2,2,0,0,1,186,1,102.6,2,1
2,0,0,3,1,0,4,58,1,139.5,1,1
2,0,0,1,1,0,2,66,1,127.38,1,0
2,0,1,1,0,0,1,96,1,79.2,2,0
2,0,2,3,1,0,1,7,1,89.59,1,0
2,0,2,2,1,0,1,11,1,145.0,1,0
2,0,2,3,2,0,1,137,1,117.3,2,0
2,0,0,2,1,0,4,180,1,105.3,0,1
2,0,1,1,1,0,4,267,1,115.2,0,1
3,0,2,2,1,0,4,76,1,142.2,0,0
2,2,2,3,2,0,6,99,1,236.52,0,1
3,0,0,3,2,0,1,8,0,156.5,4,0
2,0,1,1,1,0,4,73,1,140.4,1,1
2,0,1,3,1,0,1,0,0,12.0,0,0
3,0,1,0,1,0,4,71,1,168.3,0,0
2,2,1,0,1,0,6,1,1,153.0,2,0
1,0,0,1,1,0,1,2,0,75.0,0,0
3,0,0,2,1,0,1,30,0,98.1,0,0
1,0,0,2,1,0,1,2,1,72.2,0,0
1,0,2,3,1,0,1,6,1,80.0,2,0
2,0,0,4,1,1,1,54,1,97.4,1,0
3,0,2,2,1,0,1,186,0,96.9,1,0
2,0,1,2,1,0,1,304,1,74.15,0,1
2,0,0,1,1,0,1,99,1,135.9,1,1
2,0,1,2,0,1,1,190,1,103.5,2,1
2,0,1,5,1,0,1,164,1,93.5,2,1
2,0,2,1,2,0,1,138,0,94.5,0,1
2,0,0,2,0,0,1,9,1,67.5,0,0
1,0,0,2,2,0,1,102,0,80.0,0,1
2,0,2,1,2,0,1,124,0,94.5,0,0
2,0,2,2,0,0,1,213,1,92.65,0,1
2,0,1,3,0,0,1,57,1,88.4,0,1
2,0,1,1,1,0,1,143,1,114.3,0,1
1,0,0,3,1,0,1,166,1,110.0,0,1
2,0,0,1,1,0,2,11,1,127.6,1,0
2,0,1,3,1,0,1,3,2,99.0,0,1
1,0,0,1,1,0,4,64,1,149.4,0,1
2,0,1,2,1,0,1,43,1,126.9,0,1
2,0,0,4,2,0,1,296,0,117.0,1,1
2,0,2,1,1,0,2,223,1,86.63,0,1
2,0,0,2,1,0,1,140,1,96.3,0,1
2,0,1,3,1,0,1,193,1,149.81,1,1
2,0,0,4,1,0,1,270,0,62.8,0,1
2,0,0,2,1,0,1,97,1,140.5,1,0
2,0,1,2,1,0,1,273,1,95.0,0,1
2,0,0,2,1,0,1,20,1,122.0,1,1
2,0,2,5,1,0,4,6,0,80.2,0,0
2,2,0,1,1,0,6,131,1,177.3,0,1
1,0,0,2,1,0,1,164,0,100.0,0,0
3,0,2,0,1,0,1,47,0,98.1,2,0
1,0,1,0,1,0,1,4,1,120.0,3,0
2,1,0,3,1,0,1,93,1,149.1,2,1
2,0,0,1,0,1,1,0,1,161.0,1,0
1,0,0,1,1,0,1,2,2,88.0,0,1
2,0,0,3,1,0,1,197,1,106.2,2,1
2,0,2,1,2,0,1,220,0,172.0,0,1
1,0,2,3,2,0,1,3,0,79.75,0,0
2,2,2,1,1,0,6,153,1,189.9,0,1
2,0,1,2,1,0,4,24,1,109.33,1,1
2,0,1,2,1,0,1,84,1,89.25,2,0
2,0,1,2,1,0,1,171,1,126.9,0,1
2,0,0,2,1,0,4,8,1,156.0,0,1
2,0,2,1,1,0,1,172,1,96.3,2,0
2,0,1,3,1,0,1,75,0,80.0,0,1
2,0,0,3,1,0,1,70,0,80.75,0,0
1,0,1,3,1,0,1,60,1,74.8,0,1
2,1,0,2,1,0,4,11,1,182.75,1,1
3,0,0,3,1,0,1,133,1,137.7,2,0
2,0,0,1,0,0,1,18,1,129.0,1,0
2,0,0,2,2,0,1,256,0,115.0,1,1
2,0,1,4,1,0,1,5,1,90.0,0,1
2,0,1,0,0,0,1,49,1,93.15,0,1
2,0,0,1,0,0,1,2,1,89.0,0,0
2,0,0,2,1,0,1,29,2,85.0,0,0
2,0,0,4,1,0,1,6,1,106.0,2,0
2,0,2,0,1,0,1,61,0,91.0,0,0
2,2,2,2,1,0,6,144,1,177.65,1,1
2,0,3,5,1,0,1,224,1,72.76,0,1
2,0,2,3,2,0,4,39,1,136.08,1,0
3,0,2,2,1,0,4,93,1,119.0,1,0
2,0,0,3,1,0,4,63,1,149.4,1,1
1,0,2,2,1,0,1,162,0,115.0,0,1
2,0,0,1,0,0,1,81,1,116.1,0,1
2,0,0,2,2,0,1,320,1,115.0,1,1
2,0,0,2,1,0,4,74,1,132.3,0,1
2,0,2,3,1,0,1,138,1,104.55,0,1
1,0,0,2,2,0,1,346,0,90.0,0,1
1,0,0,2,1,0,1,188,0,130.0,0,1
1,0,0,3,1,0,1,113,2,100.0,0,1
2,1,0,3,1,0,1,188,1,116.7,0,1
2,0,0,3,1,0,1,279,0,110.0,0,1
2,0,2,3,1,0,1,244,1,85.85,0,1
2,0,1,2,1,0,1,14,1,97.67,1,1
2,0,1,0,0,0,1,0,1,75.0,0,1
2,0,2,4,0,0,1,2,1,80.67,0,0
1,0,0,3,0,0,1,110,1,85.87,1,0
2,0,0,3,1,0,1,279,0,110.0,0,1
1,0,0,1,1,0,1,10,2,66.0,0,0
2,0,1,1,1,0,1,27,1,111.2,0,1
2,0,0,2,2,0,1,102,0,109.0,0,0
2,0,0,2,0,0,1,4,1,124.0,0,1
2,0,0,1,1,0,1,8,1,101.0,2,0
2,0,0,2,2,0,1,102,0,101.5,0,1
1,0,2,1,1,0,1,72,1,87.3,0,1
2,0,0,4,0,0,1,135,1,89.25,0,1
2,1,1,3,1,0,1,207,1,123.25,1,1
2,0,0,1,1,0,1,73,1,126.9,0,1
3,0,0,3,1,0,4,176,1,137.7,2,1
2,0,0,1,0,0,1,6,1,87.0,2,0
2,0,1,3,1,0,1,322,0,80.0,0,1
2,0,1,1,2,0,1,88,0,112.2,0,0
3,0,0,1,1,0,4,36,1,159.3,0,1
2,0,0,3,1,0,1,123,1,72.25,2,1
2,0,2,3,0,0,1,81,1,73.9,0,1
3,0,1,3,1,0,1,80,0,96.9,0,0
2,2,2,1,1,0,6,57,1,177.3,0,1
2,0,1,2,1,0,1,273,0,95.0,0,1
2,0,2,3,1,0,2,26,1,85.0,0,0
3,0,0,1,1,0,4,27,1,187.0,2,0
1,0,1,3,1,0,4,16,1,127.5,0,1
1,0,2,7,1,0,1,0,3,0.0,0,0
2,0,1,4,2,0,1,9,0,116.04,0,1
2,0,2,2,0,0,1,15,1,129.0,1,1
1,0,0,1,1,1,1,52,2,67.0,0,0
1,0,1,0,1,0,1,35,2,89.0,0,0
2,0,0,1,1,0,1,114,1,128.7,0,1
3,0,2,1,1,0,4,202,1,128.7,0,1
2,0,2,3,1,0,1,303,1,78.0,0,1
2,0,0,2,2,0,1,346,0,115.0,1,1
2,2,1,5,1,0,2,18,1,77.88,0,1
2,0,1,1,1,0,4,267,1,115.2,0,1
2,0,0,1,1,0,1,105,0,75.0,0,1
2,0,0,2,1,0,1,59,1,93.6,0,1
2,0,0,2,1,0,1,108,1,118.8,1,0
2,0,0,2,1,0,4,7,1,184.0,0,1
2,0,0,3,1,0,1,69,1,69.99,0,1
1,0,0,1,1,0,1,40,1,72.9,0,1
2,0,2,2,1,0,1,82,1,112.1,1,0
2,0,0,2,1,0,1,28,2,100.0,0,1
2,0,1,3,1,0,1,122,0,75.0,0,0
1,0,1,2,1,0,1,18,1,118.67,0,0
2,0,0,3,1,0,1,27,1,141.0,0,1
3,0,2,1,1,0,4,84,1,159.3,0,1
3,0,2,1,1,0,1,19,1,118.67,1,0
2,0,0,3,1,0,1,177,0,72.25,1,0
2,0,2,2,1,0,4,53,0,60.0,0,0
2,0,0,1,0,0,1,191,1,71.1,0,1
2,0,2,0,0,0,1,47,1,116.1,0,0
2,0,1,2,0,0,1,1,1,107.03,1,0
1,0,0,1,1,0,1,21,1,85.0,0,1
1,0,0,2,1,0,1,4,2,66.0,0,0
2,0,1,5,1,0,4,144,1,112.8,1,0
2,0,0,4,1,0,1,98,0,95.0,1,0
1,0,1,3,1,0,1,63,1,68.0,0,1
1,0,1,4,1,0,1,150,0,80.0,0,0
2,0,0,2,0,0,1,18,1,139.0,1,1
2,0,2,1,1,0,1,244,1,68.25,1,0
1,0,0,2,1,0,1,99,2,80.5,0,0
1,0,2,1,0,0,1,8,1,85.35,1,0
2,0,1,3,1,0,1,55,1,75.95,0,0
2,0,0,2,1,0,1,245,0,75.0,0,1
2,0,0,2,2,0,1,102,0,109.0,0,0
2,0,2,0,0,0,1,196,1,116.1,0,1
2,0,0,2,2,0,1,102,0,101.5,0,1
2,0,0,1,1,0,4,12,1,154.0,0,1
2,0,0,4,0,0,1,135,1,55.08,0,1
2,0,0,2,0,0,1,46,1,119.5,2,0
2,0,1,2,1,0,1,302,0,100.0,0,1
2,0,4,6,1,0,1,207,0,72.25,0,0
2,0,1,1,1,0,1,25,0,76.5,0,0
2,0,2,1,1,0,4,172,1,88.7,1,0
2,0,1,3,1,0,1,332,1,77.23,2,0
2,1,0,2,1,0,4,12,1,156.0,3,0
1,0,0,1,1,0,1,4,1,159.0,0,0
2,0,2,1,1,0,1,74,1,118.8,0,1
2,0,0,2,1,0,1,48,0,130.0,0,0
2,1,2,1,1,0,1,110,1,95.0,0,1
2,0,0,1,0,0,1,0,1,180.0,0,0
3,0,1,4,1,0,4,124,1,146.7,0,1
2,0,0,4,1,0,1,35,1,96.3,2,0
2,0,0,2,0,0,1,23,1,119.0,1,1
2,0,0,1,1,0,1,105,0,75.0,0,1
2,0,1,0,0,0,1,18,1,129.0,1,1
2,0,2,5,0,0,1,60,1,60.27,0,0
2,0,1,0,1,0,1,8,1,99.0,1,1
1,0,0,2,1,0,1,99,2,81.0,0,0
2,1,0,1,1,0,1,70,1,134.1,0,1
1,0,0,4,1,0,1,5,2,65.0,0,0
2,2,1,3,1,0,6,77,1,187.85,1,0
1,0,0,1,2,0,1,184,1,82.12,2,1
2,0,0,3,0,0,1,188,1,85.5,2,1
2,0,0,3,1,0,1,279,0,110.0,0,1
2,0,2,2,1,0,1,28,1,73.88,0,0
2,0,0,1,1,0,1,0,1,138.99,0,0
2,0,0,1,1,0,1,1,1,111.0,1,0
2,0,1,3,1,0,1,123,1,99.45,0,1
1,0,2,7,1,0,4,28,1,101.78,0,1
2,0,0,2,1,0,4,19,1,148.0,1,0
1,0,2,5,0,0,1,23,1,89.64,1,1
2,0,1,2,1,0,1,34,1,78.3,0,0
2,0,1,2,1,0,1,78,0,100.0,0,1
1,0,1,1,0,0,1,44,1,87.2,0,1
2,0,1,2,1,0,4,46,0,60.0,0,0
2,0,2,0,2,0,1,275,0,110.0,0,1
2,0,1,0,0,0,1,0,1,68.53,0,0
2,0,2,5,1,0,1,88,1,82.45,1,0
2,0,2,1,2,0,1,131,0,94.5,0,1
2,0,2,2,1,0,1,68,1,108.38,1,1
2,0,2,2,2,0,1,169,0,106.0,0,1
2,0,0,3,1,0,1,42,1,104.0,2,0
1,0,0,2,1,0,1,32,0,73.0,0,0
2,0,2,2,1,0,1,75,0,80.75,0,0
2,0,0,2,1,0,1,245,0,75.0,0,1
2,0,1,1,1,0,1,174,0,70.0,0,1
2,0,0,4,1,0,4,133,1,120.7,2,0
2,0,0,1,0,0,1,12,1,101.68,1,0
2,0,0,3,2,0,1,67,1,161.1,1,0
2,0,0,1,1,0,1,1,1,105.0,0,0
1,0,0,2,1,0,1,1,0,100.0,0,0
3,0,1,3,1,0,4,154,1,151.2,2,1
2,0,1,2,2,0,1,161,0,130.0,0,1
2,0,2,1,1,0,4,102,0,48.67,2,0
2,0,0,2,1,0,1,23,1,140.0,0,1
1,0,1,1,1,0,1,36,1,135.9,0,0
2,0,2,3,2,0,1,111,1,139.5,1,0
1,0,1,0,0,0,1,6,1,88.0,1,0
0,2,2,3,1,0,2,185,1,84.82,0,1
2,0,0,1,2,0,1,83,0,112.2,0,0
2,1,2,3,1,0,1,9,1,154.4,2,0
2,0,0,1,1,0,1,24,1,117.0,1,0
3,0,1,1,2,0,4,193,1,189.0,1,1
2,0,0,2,1,0,1,317,0,120.0,0,1
2,0,2,2,0,0,1,110,1,76.5,1,1
2,0,0,2,0,0,1,13,1,129.0,1,1
1,0,0,2,2,0,1,68,0,58.0,0,0
2,0,0,3,1,0,1,183,0,110.0,1,1
2,0,0,3,0,0,1,240,1,85.5,1,1
2,0,2,5,1,0,1,18,1,98.57,2,1
2,0,2,2,0,0,1,18,1,99.75,1,0
3,0,0,3,1,0,4,125,1,138.3,0,1
1,0,1,1,0,0,1,48,1,107.1,1,1
2,0,0,4,2,0,4,63,1,144.5,2,1
2,0,2,1,1,1,2,278,1,103.95,0,1
2,0,0,1,0,0,1,0,1,89.0,1,0
1,0,1,0,1,0,1,119,1,68.0,1,1
2,0,2,2,1,0,1,68,1,89.25,1,1
1,0,0,1,1,0,1,5,2,65.0,0,0
2,0,0,4,1,0,4,17,1,133.5,0,1
1,0,0,3,1,0,1,26,2,77.0,0,1
2,1,2,3,1,0,4,66,1,119.16,2,0
1,0,0,1,1,0,1,22,2,62.0,1,0
1,0,0,2,1,0,1,119,1,90.9,0,1
2,0,2,2,1,0,1,240,1,95.63,1,1
2,0,2,5,1,0,4,96,0,78.2,0,1
1,0,0,1,1,0,4,31,2,90.0,1,0
2,0,2,5,1,0,1,88,1,54.63,0,0
1,0,1,1,2,0,1,301,0,90.0,0,0
2,1,2,4,1,0,1,47,1,129.99,1,0
2,0,0,2,0,0,1,140,1,112.5,1,0
2,0,1,0,1,0,1,33,1,80.3,1,0
1,0,1,1,1,0,1,45,1,86.4,0,1
2,0,0,4,1,0,1,36,1,168.73,0,0
2,0,2,2,1,0,4,44,0,87.2,0,0
2,0,2,7,1,0,4,18,1,141.56,0,1
1,0,0,2,1,0,1,192,0,95.0,0,0
1,0,0,2,0,0,1,83,1,83.59,0,0
1,0,0,3,1,0,1,37,0,95.0,0,0
2,0,1,0,1,0,1,141,0,90.0,0,1
1,0,1,2,1,0,1,133,0,74.67,1,0
1,0,0,3,1,0,1,46,1,73.9,0,1
1,0,0,1,0,0,1,33,1,125.1,1,0
2,0,2,4,1,0,1,96,1,99.45,0,1
2,0,1,1,0,0,1,268,1,95.4,0,1
2,0,1,5,1,0,1,68,1,131.4,1,0
2,0,0,1,1,0,5,3,2,159.0,0,0
2,0,0,1,0,0,1,0,1,79.0,0,0
2,0,1,2,1,0,1,279,0,80.75,1,0
2,0,0,3,0,0,1,15,0,85.0,0,0
2,0,1,1,1,0,1,159,0,70.0,0,0
2,0,1,3,0,0,1,7,0,72.25,0,0
2,0,0,2,1,0,1,54,1,126.9,1,0
1,0,0,2,1,0,1,172,0,95.0,0,1
2,0,2,2,1,0,1,117,0,110.0,1,0
1,0,1,5,1,0,1,349,0,80.0,0,1
1,0,0,1,1,0,1,8,1,95.0,0,0
1,0,2,2,1,1,1,31,2,67.0,0,0
1,0,0,2,1,1,1,0,2,65.0,1,0
2,0,1,3,1,0,1,106,1,90.23,2,1
2,0,1,1,1,0,1,21,1,105.0,2,0
2,0,0,1,1,0,1,9,1,139.0,1,0
